Document	Subdoc	WordId	WordForm	ChangedAttrib	NewValue	OldValue	Relevant
0085-004	1-3	18	μὴ	postag	d--------	g--------	
0085-004	4	2	μὲν	postag	d--------	g--------	
0085-004	4	3	γὰρ	postag	d--------	g--------	
0085-004	4	10	[0]	lemma	_	/	
0085-004	5-9	2	δ’	postag	d--------	g--------	
0085-004	5-9	3	αὖθ’	relation	ADV	AuxZ	
0085-004	5-9	3	αὖθ’	head	18	2	
0085-004	5-9	6	μὴ	postag	d--------	g--------	
0085-004	5-9	7	γένοιτο	postag	v3saom---	v3sao----	
0085-004	5-9	13	ἂν	postag	d--------	g--------	
0085-004	5-9	14	εἷς	postag	m-s---mn-	n-s---mn-	
0085-004	5-9	14	εἷς	relation	ADV	ATV	
0085-004	5-9	15	πολὺς	relation	ADV	ATV	
0085-004	5-9	24	θ’	postag	b--------	g--------	
0085-004	5-9	30	γένοιτο	postag	v3saom---	v3sao----	
0085-004	16	2	τε	postag	b--------	g--------	
0085-004	16	4	γῇ	form	γῇ	Γῇ	
0085-004	16	4	γῇ	relation	OBJ_CO	OBJ_AP_CO	
0085-004	16	4	γῇ	head	5	7	
0085-004	16	5	τε	postag	b--------	g--------	
0085-004	16	6	μητρί	relation	APOS	ATR	
0085-004	16	7	,	relation	AuxX	APOS	
0085-004	16	7	,	head	0	5	
0085-004	16	8	φιλτάτῃ	lemma	φίλος	φίλτατος	
0085-004	16	8	φιλτάτῃ	postag	a-s---fds	a-s---fd-	
0085-004	16	9	τροφῷ	relation	APOS	OBJ_AP_CO	
0085-004	16	9	τροφῷ	head	4	7	
0085-004	16	11	[0]	lemma	_	/	
0085-004	17-20	1	ἡ	postag	l-s---fn-	p-s---fn-	
0085-004	17-20	2	γὰρ	postag	d--------	g--------	
0085-004	17-20	3	νέους	relation	ADV	AtvV	
0085-004	17-20	14	οἰκητῆρας	relation	ADV	AtvV	
0085-004	21	1	καὶ	postag	d--------	c--------	
0085-004	21	3	μὲν	postag	d--------	g--------	
0085-004	22-23	2	γὰρ	postag	d--------	g--------	
0085-004	22-23	8	πλείω	lemma	πολύς	πλείων	
0085-004	22-23	12	κυρεῖ	relation	PRED	COORD	
0085-004	24-26	2	δ’	postag	d--------	g--------	
0085-004	24-26	3	ὡς	postag	c--------	d--------	
0085-004	24-26	5	μάντις	relation	SBJ	SBJ_AP	
0085-004	24-26	5	μάντις	head	6	7	
0085-004	24-26	7	,	relation	AuxX	APOS	
0085-004	24-26	7	,	head	0	6	
0085-004	24-26	9	βοτήρ	relation	APOS	SBJ_AP	
0085-004	24-26	9	βοτήρ	head	5	7	
0085-004	24-26	10	,	head	5	7	
0085-004	24-26	14	καὶ	postag	b--------	c--------	
0085-004	24-26	18	δίχα	relation	ADV	AuxP	
0085-004	24-26	25	[0]	lemma	_	/	
0085-004	27-29	1	οὗτος	postag	p-s---mn-	a-s---mn-	
0085-004	27-29	1	οὗτος	relation	SBJ	SBJ_AP	
0085-004	27-29	1	οὗτος	head	5	13	
0085-004	27-29	3	δεσπότης	relation	APOS	SBJ_AP	
0085-004	27-29	3	δεσπότης	head	1	13	
0085-004	27-29	6	μεγίστην	postag	a-s---fas	a-s---fa-	
0085-004	27-29	7	προσβολὴν	head	1	13	
0085-004	27-29	8	Ἀχαιίδα	lemma	Ἀχαιΐς	Ἀχαιίς	
0085-004	27-29	9	νυκτηγορεῖσθαι	head	1	13	
0085-004	27-29	10	κἀπιβουλεύσειν	head	1	13	
0085-004	30-35	3	τ’	postag	b--------	g--------	
0085-004	30-35	5	καὶ	postag	b--------	c--------	
0085-004	30-35	8	ὁρμᾶσθε	postag	v2ppse---	v2ppsa---	
0085-004	30-35	23	καὶ	postag	b--------	c--------	
0085-004	30-35	31	μη	postag	d--------	g--------	
0085-004	30-35	32	δ’	postag	b--------	g--------	
0085-004	36-37	2	δὲ	postag	d--------	g--------	
0085-004	36-37	3	κἀγὼ	postag	p1s---cn-	p-s---mn-	
0085-004	36-37	4	καὶ	postag	b--------	c--------	
0085-004	36-37	9	τοὺς	postag	l-p---ma-	p-p---ma-	
0085-004	36-37	11	μὴ	postag	d--------	g--------	
0085-004	36-37	13	ὁδῷ	postag	n-s---fd-	n-s---md-	
0085-004	38	1	καὶ	postag	d--------	c--------	
0085-004	38	1	καὶ	relation	AuxY	COORD	
0085-004	38	1	καὶ	head	7	0	
0085-004	38	5	τι	relation	ADV	AuxZ	
0085-004	38	6	μὴ	postag	d--------	g--------	
0085-004	38	6	μὴ	relation	AuxZ	AuxY	
0085-004	38	7	ληφθῶ	head	0	1	
0085-004	39-41	1	Ἐτεόκλεες	lemma	Ἐτεοκλῆς	Ετεοκλῆς	
0085-004	39-41	1	Ἐτεόκλεες	relation	ExD	ExD_AP	
0085-004	39-41	1	Ἐτεόκλεες	head	7	2	
0085-004	39-41	2	,	relation	AuxX	APOS	
0085-004	39-41	2	,	head	0	7	
0085-004	39-41	5	ἄναξ	relation	APOS	ExD_AP	
0085-004	39-41	5	ἄναξ	head	1	2	
0085-004	39-41	6	,	head	1	2	
0085-004	39-41	8	σαφῆ	relation	ADV	ATV	
0085-004	39-41	14	αὐτὸς	postag	p-s---mn-	a-s---mn-	
0085-004	39-41	14	αὐτὸς	relation	ADV	ATV	
0085-004	39-41	16	δ’	postag	b--------	g--------	
0085-004	39-41	18	ἐγὼ	postag	p1s---cn-	p-s---mn-	
0085-004	42-48	1	ἄνδρες	relation	SBJ	SBJ_AP	
0085-004	42-48	1	ἄνδρες	head	26	4	
0085-004	42-48	2	γὰρ	postag	d--------	g--------	
0085-004	42-48	4	,	relation	AuxX	APOS	
0085-004	42-48	4	,	head	0	26	
0085-004	42-48	6	λοχαγέται	relation	APOS	SBJ_AP	
0085-004	42-48	6	λοχαγέται	head	1	4	
0085-004	42-48	12	καὶ	postag	b--------	c--------	
0085-004	42-48	19	τ’	postag	b--------	g--------	
0085-004	42-48	23	καὶ	postag	b--------	c--------	
0085-004	42-48	25	φόβον	form	φόβον	Φόβον	
0085-004	42-48	27	ἢ	postag	b--------	c--------	
0085-004	42-48	34	βίᾳ	postag	n-s---fd-	n-p---fd-	
0085-004	42-48	36	ἢ	postag	b--------	c--------	
0085-004	42-48	38	θανόντες	lemma	θνῄσκω	θνήσκω	
0085-004	49-51	2	θ’	postag	b--------	g--------	
0085-004	49-51	2	θ’	relation	AuxY	COORD	
0085-004	49-51	2	θ’	head	12	0	
0085-004	49-51	3	αὑτῶν	postag	p-p---mg-	a-p---mg-	
0085-004	49-51	12	ἔστεφον	relation	PRED	PRED_CO	
0085-004	49-51	12	ἔστεφον	head	0	2	
0085-004	51	2	δ’	postag	d--------	g--------	
0085-004	51	3	οὔτις	postag	p-s---mn-	a-s---mn-	
0085-004	51	3	οὔτις	relation	ATR	PRED	
0085-004	52-53	2	γὰρ	postag	d--------	g--------	
0085-004	52-53	9	ὡς	postag	c--------	d--------	
0085-004	52-53	13	[0]	lemma	_	/	
0085-004	52-53	14	[1]	lemma	_	/	
0085-004	54	1	καὶ	postag	d--------	c--------	
0085-004	54	1	καὶ	relation	AuxY	COORD	
0085-004	54	1	καὶ	head	6	0	
0085-004	54	6	χρονίζεται	relation	PRED	PRED_CO	
0085-004	54	6	χρονίζεται	head	0	1	
0085-004	55-56	1	κληρουμένους	relation	ADV	AtvV	
0085-004	55-56	2	δ’	postag	d--------	g--------	
0085-004	55-56	9	αὐτῶν	postag	p-p---mg-	a-p---mg-	
0085-004	57-58	2	ταῦτ’	postag	p-p---na-	a-p---na-	
0085-004	57-58	3	ἀρίστους	lemma	ἀγαθός	ἄριστος	
0085-004	57-58	3	ἀρίστους	postag	a-p---mas	a-p---ma-	
0085-004	59-61	2	γὰρ	postag	d--------	g--------	
0085-004	59-61	12	δ’	postag	b--------	g--------	
0085-004	62-64	1	σὺ	postag	p2s---cn-	p-s---mn-	
0085-004	62-64	1	σὺ	relation	SBJ	ExD	
0085-004	62-64	2	δ’	postag	d--------	g--------	
0085-004	62-64	3	ὥστε	relation	AuxC	AuxP	
0085-004	62-64	15	[0]	lemma	_	/	
0085-004	64	2	γὰρ	postag	d--------	g--------	
0085-004	65	1	καὶ	postag	d--------	c--------	
0085-004	65	1	καὶ	relation	AuxY	COORD	
0085-004	65	1	καὶ	head	6	0	
0085-004	65	5	ὤκιστος	postag	a-s---mns	a-s---mn-	
0085-004	65	6	λαβέ	relation	PRED	PRED_CO	
0085-004	65	6	λαβέ	head	0	1	
0085-004	65	8	[0]	lemma	_	/	
0085-004	66-68	1	κἀγὼ	postag	p1s---cn-	p-s---mn-	
0085-004	66-68	1	κἀγὼ	relation	SBJ	AuxY	
0085-004	66-68	9	καὶ	postag	b--------	c--------	
0085-004	66-68	13	τὰ	postag	l-p---na-	p-p---na-	
0085-004	66-68	14	τῶν	postag	l-p---mg-	p-p---mg-	
0085-004	66-68	17	ἔσῃ	postag	v2sfim---	v2sfi----	
0085-004	69-73	3	τε	postag	b--------	g--------	
0085-004	69-73	4	καὶ	postag	b--------	c--------	
0085-004	69-73	5	γῆ	form	γῆ	Γῆ	
0085-004	69-73	6	καὶ	postag	b--------	c--------	
0085-004	69-73	10	ἀρά	form	ἀρά	Ἀρά	
0085-004	69-73	11	τ’	postag	b--------	g--------	
0085-004	69-73	17	μή	postag	d--------	c--------	
0085-004	69-73	18	μοι	postag	p1s---cd-	p-s---md-	
0085-004	69-73	20	γε	postag	d--------	g--------	
0085-004	69-73	22	πανώλεθρον	relation	ADV	ATV	
0085-004	69-73	24	δῃάλωτον	lemma	δηϊάλωτος	δηιάλωτος	
0085-004	69-73	24	δῃάλωτον	relation	ADV	ATV	
0085-004	69-73	30	καὶ	postag	b--------	c--------	
0085-004	74-75	2	δὲ	postag	d--------	g--------	
0085-004	74-75	4	τε	postag	b--------	g--------	
0085-004	74-75	5	καὶ	postag	b--------	c--------	
0085-004	74-75	11	σχεθεῖν	lemma	ἔχω	σχεθεῖν	
0085-004	76	2	δ’	postag	d--------	g--------	
0085-004	76	2	δ’	postag	d--------	g--------	
0085-004	76	2	δ’	relation	AuxY	COORD	
0085-004	76	2	δ’	head	3	0	
0085-004	77	2	γὰρ	postag	d--------	g--------	
0085-004	79-80	4	πολὺς	relation	ADV	ATV	
0085-004	79-80	7	πρόδρομος	relation	ADV	ATV	
0085-004	81-82	2	κόνις	relation	SBJ	SBJ_AP	
0085-004	81-82	2	κόνις	head	4	6	
0085-004	81-82	3	με	postag	p1s---ca-	p-s---fa-	
0085-004	81-82	6	,	relation	AuxX	APOS	
0085-004	81-82	6	,	head	0	4	
0085-004	81-82	10	ἄγγελος	relation	APOS	SBJ_AP	
0085-004	81-82	10	ἄγγελος	head	2	6	
0085-004	84-85	4	δ’	postag	b--------	g--------	
0085-004	86-88	6	τ’	postag	b--------	g--------	
0085-004	91-92	1	τίς	postag	p-s---cn-	p-s---mn-	
0085-004	91-92	2	ἄρα	postag	d--------	g--------	
0085-004	91-92	5	τίς	postag	p-s---cn-	p-s---mn-	
0085-004	91-92	6	ἄρ’	postag	d--------	g--------	
0085-004	91-92	9	ἢ	postag	b--------	c--------	
0085-004	93-95	2	δῆτ’	head	5	1	
0085-004	93-95	3	ἐγὼ	postag	p1s---cn-	p-s---mn-	
0085-004	96-97	2	μάκαρες	postag	a-p---mv-	n-p---mv-	
0085-004	96-97	4	,	relation	AuxX	AuxZ	
0085-004	100	2	ἢ	postag	b--------	c--------	
0085-004	103	3	ἑνὸς	postag	m-s---ng-	n-s---ng-	
0085-004	103	6	[0]	lemma	_	/	
0085-004		4	ἔπιδ’	relation	APOS	MWE	
0085-004	108	4	ἴτε	lemma	ἔρχομαι	εἶμι	
0085-004	110-111	1	ἴδετε	lemma	ὁράω	εἶδον	
0085-004	112-115	2	[γὰρ]	postag	d--------	g--------	
0085-004	112-115	2	[γὰρ]	relation	AuxY	UNDEFINED	
0085-004	112-115	2	[γὰρ]	head	7	0	
0085-004	116-117	5	?	relation	AuxK	UNDEFINED	
0085-004	116-117	6	πάτερ	lemma	πατήρ	πάτηρ	
0085-004	116-117	11	δαΐων	lemma	δάϊος	δάιος	
0085-004	120-121	2	δὲ	postag	d--------	g--------	
0085-004	121-123	2	δ’	postag	d--------	g--------	
0085-004	121-123	8	δέ	postag	b--------	g--------	
0085-004	121-123	9	τοι	postag	d--------	g--------	
0085-004	124-127	2	δ’	postag	d--------	g--------	
0085-004	124-127	2	δ’	relation	AuxY	COORD	
0085-004	124-127	2	δ’	head	10	0	
0085-004	124-127	3	ἀγάνορες	postag	a-p---mn-	n-p---mn-	
0085-004	124-127	10	προσίστανται	relation	PRED	PRED_CO	
0085-004	124-127	10	προσίστανται	head	0	2	
0085-004	128-132	1	σύ	postag	p2s---cn-	p-s---fn-	
0085-004	128-132	1	σύ	relation	ExD	ExD_AP	
0085-004	128-132	1	σύ	head	10	11	
0085-004	128-132	2	τ’	postag	b--------	g--------	
0085-004	128-132	3	,	head	1	11	
0085-004	128-132	5	διογενὲς	form	διογενὲς	Διογενὲς	
0085-004	128-132	7	κράτος	relation	APOS	ExD_AP	
0085-004	128-132	7	κράτος	head	1	11	
0085-004	128-132	8	,	head	1	11	
0085-004	128-132	11	,	relation	AuxX	APOS	
0085-004	128-132	11	,	head	0	10	
0085-004	128-132	12	Παλλάς	relation	APOS	ExD_AP	
0085-004	128-132	12	Παλλάς	head	1	11	
0085-004	128-132	15	θ’	postag	b--------	g--------	
0085-004	128-132	20	Ποσειδάων	lemma	Ποσειδῶν	Ποσειδεών	
0085-004	128-132	23	ἐπίλυσιν	relation	OBJ	OBJ_AP	
0085-004	128-132	23	ἐπίλυσιν	head	27	25	
0085-004	128-132	25	,	relation	AuxX	APOS	
0085-004	128-132	25	,	head	0	27	
0085-004	128-132	26	ἐπίλυσιν	relation	APOS	OBJ_AP	
0085-004	128-132	26	ἐπίλυσιν	head	23	25	
0085-004	135-136	1	σύ	postag	p2s---cn-	p-s---mn-	
0085-004	135-136	1	σύ	relation	ExD	ExD_AP	
0085-004	135-136	1	σύ	head	15	3	
0085-004	135-136	2	τ’	postag	b--------	g--------	
0085-004	135-136	2	τ’	relation	AuxY	COORD	
0085-004	135-136	2	τ’	head	15	0	
0085-004	135-136	3	,	relation	AuxX	APOS	
0085-004	135-136	3	,	head	0	15	
0085-004	135-136	4	Ἄρης	relation	APOS	ExD_AP	
0085-004	135-136	4	Ἄρης	head	1	3	
0085-004	135-136	5	,	head	1	3	
0085-004	135-136	6	φεῦ	relation	ExD	AuxY	
0085-004	135-136	6	φεῦ	head	15	8	
0085-004	135-136	15	τ’	postag	b--------	g--------	
0085-004	135-136	15	τ’	head	0	2	
0085-004	140-141	1	καὶ	postag	d--------	c--------	
0085-004	140-141	1	καὶ	relation	AuxY	COORD	
0085-004	140-141	1	καὶ	head	9	0	
0085-004	140-141	5	εἶ	lemma	εἰμί	εἰ	
0085-004	140-141	5	εἶ	postag	v2spia---	c--------	
0085-004	140-141	9	ἄλευσον	relation	PRED	PRED_CO	
0085-004	140-141	9	ἄλευσον	head	0	1	
0085-004	141-142	1	σέθεν	postag	p2s---cg-	p-s---fg-	
0085-004	141-142	2	γὰρ	postag	d--------	g--------	
0085-004	142-143	2	σε	postag	p2s---ca-	p-s---fa-	
0085-004	145-146	1	καὶ	postag	d--------	c--------	
0085-004	145-146	1	καὶ	relation	AuxY	COORD	
0085-004	145-146	1	καὶ	head	8	0	
0085-004	145-146	2	σύ	postag	p2s---cn-	p-s---mn-	
0085-004	145-146	2	σύ	relation	ExD	ExD_AP	
0085-004	145-146	2	σύ	head	8	3	
0085-004	145-146	3	,	relation	AuxX	APOS	
0085-004	145-146	3	,	head	0	8	
0085-004	145-146	4	λύκει’	form	λύκει’	Λύκει’	
0085-004	145-146	5	ἄναξ	relation	APOS	ExD_AP	
0085-004	145-146	5	ἄναξ	head	2	3	
0085-004	145-146	6	,	head	2	3	
0085-004	145-146	7	λύκειος	form	λύκειος	Λύκειος	
0085-004	145-146	8	γενοῦ	relation	PRED	PRED_CO	
0085-004	145-146	8	γενοῦ	head	0	1	
0085-004	145-146	10	δαΐῳ	lemma	δάϊος	δάιος	
0085-004	145-146	14	[0]	lemma	_	/	
0085-004	148-155	4	ἒ	relation	ExD	AuxY	
0085-004	148-155	4	ἒ	head	12	7	
0085-004	148-155	5	ἒ	relation	ExD	AuxY	
0085-004	148-155	5	ἒ	head	12	7	
0085-004	148-155	6	ἒ	relation	ExD	AuxY	
0085-004	148-155	6	ἒ	head	12	7	
0085-004	148-155	10	αἰθὴρ	postag	n-s---fn-	n-s---mn-	
0085-004	148-155	11	δ’	postag	b--------	g--------	
0085-004	148-155	12	ἐπιμαίνεται	lemma	ἐπιμαίνω	ἐπιμαίνομαι	
0085-004	156	3	ἄμμι	postag	p1p---cd-	p-p---md-	
0085-004	157	2	δ’	postag	d--------	g--------	
0085-004	157	2	δ’	relation	AuxY	COORD	
0085-004	157	2	δ’	head	5	0	
0085-004	157	5	ἐπάγει	relation	PRED	PRED_CO	
0085-004	157	5	ἐπάγει	head	0	2	
0085-004	158-158b	1	ἒ	relation	ExD	AuxY	
0085-004	158-158b	1	ἒ	head	10	4	
0085-004	158-158b	2	ἒ	relation	ExD	AuxY	
0085-004	158-158b	2	ἒ	head	10	4	
0085-004	158-158b	3	ἒ	relation	ExD	AuxY	
0085-004	158-158b	3	ἒ	head	10	4	
0085-004	158-158b	7	δ’	postag	b--------	g--------	
0085-004	159	5	[0]	lemma	_	/	
0085-004	160-162	7	παῖ	postag	n-s---cv-	n-s---mv-	
0085-004	160-162	17	[0]	lemma	_	/	
0085-004	163-165	1	σύ	postag	p2s---cn-	p-s---fn-	
0085-004	163-165	1	σύ	relation	ExD	ExD_AP	
0085-004	163-165	1	σύ	head	12	3	
0085-004	163-165	2	τε	postag	b--------	g--------	
0085-004	163-165	2	τε	relation	AuxY	COORD	
0085-004	163-165	2	τε	head	12	0	
0085-004	163-165	3	,	relation	AuxX	APOS	
0085-004	163-165	3	,	head	0	12	
0085-004	163-165	4	μάκαιρ’	postag	a-p---fv-	n-p---fv-	
0085-004	163-165	6	Ὄγκα	relation	APOS	ExD_AP	
0085-004	163-165	6	Ὄγκα	head	1	3	
0085-004	163-165	7	,	head	1	3	
0085-004	163-165	10	ἑπτάπυλον	postag	m-s---na-	a-s---na-	
0085-004	163-165	12	ἐπιρρύου	relation	PRED	PRED_CO	
0085-004	163-165	12	ἐπιρρύου	head	0	2	
0085-004	166-170	3	θεοί	relation	ExD	ExD_AP	
0085-004	166-170	3	θεοί	head	16	4	
0085-004	166-170	4	,	relation	AuxX	APOS	
0085-004	166-170	4	,	head	0	16	
0085-004	166-170	8	τε	postag	b--------	g--------	
0085-004	166-170	11	πυργοφύλακες	relation	APOS	ExD_AP	
0085-004	166-170	11	πυργοφύλακες	head	3	4	
0085-004	166-170	12	,	head	3	4	
0085-004	166-170	15	μὴ	postag	d--------	c--------	
0085-004	171-172	1	κλύετε	relation	MWE	AuxY	
0085-004	173-178	5	λυτήριοί	relation	ADV	AtvV	
0085-004	173-178	6	τ’	postag	b--------	g--------	
0085-004	173-178	15	θ’	postag	b--------	g--------	
0085-004	173-178	20	δ’	postag	b--------	g--------	
0085-004	173-178	23	[0]	lemma	_	/	
0085-004	179-180	2	δέ	postag	d--------	g--------	
0085-004	179-180	2	δέ	relation	AuxY	COORD	
0085-004	179-180	2	δέ	head	7	0	
0085-004	179-180	3	τοι	postag	d--------	g--------	
0085-004	179-180	7	ἐστέ	head	0	2	
0085-004	179-180	8	μοι	postag	p1s---cd-	p-s---md-	
0085-004	181-186	1	ὑμᾶς	postag	p2p---ca-	p-p----a-	
0085-004	181-186	9	ταῦτ’	postag	p-p---nn-	a-p---nn-	
0085-004	181-186	9	ταῦτ’	relation	SBJ	SBJ_AP	
0085-004	181-186	9	ταῦτ’	head	33	20	
0085-004	181-186	11	καὶ	postag	b--------	c--------	
0085-004	181-186	16	τε	postag	b--------	g--------	
0085-004	181-186	20	,	relation	AuxX	APOS	
0085-004	181-186	20	,	head	0	33	
0085-004	181-186	26	αὔειν	relation	APOS_CO	SBJ_AP_CO	
0085-004	181-186	27	,	head	9	20	
0085-004	181-186	28	λακάζειν	relation	APOS_CO	SBJ_AP_CO	
0085-004	181-186	33	[0]	lemma	_	/	
0085-004	187-188	1	μήτ’	postag	d--------	g--------	
0085-004	187-188	3	κακοῖσι	relation	ADV_CO	ADV	
0085-004	187-188	4	μήτ’	lemma	μήτε	μήτις	
0085-004	187-188	4	μήτ’	postag	b--------	a-s----a-	
0085-004	187-188	6	εὐεστοῖ	relation	ADV_CO	ADV	
0085-004	189-190	2	μὲν	postag	d--------	g--------	
0085-004	189-190	3	γὰρ	postag	d--------	g--------	
0085-004	189-190	9	δ’	postag	b--------	g--------	
0085-004	189-190	11	καὶ	postag	b--------	c--------	
0085-004	189-190	13	πλέον	lemma	πολύς	πλείων	
0085-004	189-190	16	[0]	lemma	_	/	
0085-004	189-190	17	[1]	lemma	_	/	
0085-004	191-192	1	καὶ	postag	d--------	c--------	
0085-004	193-194	2	τῶν	postag	l-p---mg-	p-p---mg-	
0085-004	193-194	4	δ’	postag	b--------	g--------	
0085-004	193-194	6	ἄριστ’	lemma	ἀγαθός	ἄριστος	
0085-004	193-194	6	ἄριστ’	postag	a-p---nas	a-p---na-	
0085-004	193-194	9	αὐτοὶ	postag	p-p---mn-	a-p---mn-	
0085-004	193-194	10	δ’	postag	b--------	g--------	
0085-004	193-194	12	αὐτῶν	postag	p-p---mg-	a-p---mg-	
0085-004	195	1	τοιαῦτά	postag	p-p---na-	a-p---na-	
0085-004	195	2	τἂν	postag	d--------	g--------	
0085-004	196-199	2	μή	postag	d--------	c--------	
0085-004	196-199	3	τις	postag	p-s---cn-	p-s---mn-	
0085-004	196-199	3	τις	relation	SBJ	SBJ_AP	
0085-004	196-199	3	τις	head	7	8	
0085-004	196-199	8	,	relation	AuxX	APOS	
0085-004	196-199	8	,	head	0	7	
0085-004	196-199	9	ἀνὴρ	relation	APOS_CO	SBJ_AP_CO	
0085-004	196-199	10	γυνή	relation	APOS_CO	SBJ_AP_CO	
0085-004	196-199	11	τε	postag	b--------	g--------	
0085-004	196-199	12	χὤ	lemma	καί	ὅς	
0085-004	196-199	12	χὤ	postag	b--------	p-s---nn-	
0085-004	196-199	12	χὤ	head	3	8	
0085-004	196-199	14	τῶν	postag	l-p---mg-	p-p---mg-	
0085-004	196-199	15	μεταίχμιον	postag	a-s---nn-	n-s---nn-	
0085-004	196-199	19	αὐτῶν	postag	p-p---mg-	a-p---mg-	
0085-004	196-199	25	δ’	postag	b--------	g--------	
0085-004	196-199	27	τι	relation	ADV	AuxZ	
0085-004	196-199	28	μὴ	postag	d--------	c--------	
0085-004	196-199	28	μὴ	relation	AuxZ	AuxY	
0085-004	196-199	32	[0]	lemma	_	/	
0085-004	196-199	32	[0]	relation	APOS_CO	SBJ_AP_CO	
0085-004	200-201	2	γὰρ	postag	d--------	g--------	
0085-004	200-201	5	μὴ	postag	d--------	c--------	
0085-004	200-201	7	βουλευέτω	relation	ExD	PRED_PA	
0085-004	201	2	δ’	postag	d--------	g--------	
0085-004	201	4	μὴ	postag	d--------	c--------	
0085-004	202	2	ἢ	postag	b--------	c--------	
0085-004	202	2	ἢ	head	8	6	
0085-004	202	5	,	head	8	6	
0085-004	202	6	ἢ	postag	b--------	c--------	
0085-004	202	6	ἢ	relation	AuxY	COORD	
0085-004	202	6	ἢ	head	8	0	
0085-004	202	8	λέγω	relation	PRED	PRED_CO	
0085-004	202	8	λέγω	head	0	6	
0085-004		10	ὄτοβον	relation	APOS	MWE	
0085-004	208	2	οὖν	postag	d--------	g--------	
0085-004	208	2	οὖν	relation	AuxY	AuxZ	
0085-004	208	4	[0]	lemma	_	/	
0085-004		4	μὴ	head	9	3	
0085-004	214-215	1	δὴ	postag	d--------	g--------	
0085-004	214-215	1	δὴ	relation	AuxY	AuxZ	
0085-004	217	3	ἔσται	postag	v3sfim---	v3sfi----	
0085-004	217-218	2	οὖν	postag	d--------	g--------	
0085-004	217-218	2	οὖν	relation	AuxY	AuxZ	
0085-004	217-218	2	οὖν	head	11	1	
0085-004	217-218	11	[0]	lemma	_	/	
0085-004	219-222	10	μη	postag	d--------	g--------	
0085-004	219-222	11	δ’	postag	b--------	g--------	
0085-004	219-222	12	ἐπίδοιμι	lemma	ἐφοράω	ἐπεῖδον	
0085-004	219-222	14	ἀστυδρομουμέναν	relation	ADV	ATV	
0085-004	219-222	16	καὶ	postag	b--------	c--------	
0085-004	219-222	18	ἁπτόμενον	relation	ADV	ATV	
0085-004	219-222	20	δαΐῳ	lemma	δάϊος	δάιος	
0085-004	223	1	μή	postag	d--------	c--------	
0085-004	223	2	μοι	postag	p1s---cd-	p-s---md-	
0085-004	224-225	2	γάρ	postag	d--------	g--------	
0085-004	225	1	ὧδ’	relation	ADV	OBJ	
0085-004	226	2	δ’	postag	d--------	g--------	
0085-004	226	3	ἔτ’	relation	ADV	AuxZ	
0085-004	226	7	[0]	lemma	_	/	
0085-004	227-229	2	δ’	postag	d--------	g--------	
0085-004	227-229	12	κρημναμενᾶν	postag	v-pppefg-	v-ppppfg-	
0085-004	230-231	2	τάδ’	relation	SBJ	SBJ_AP	
0085-004	230-231	2	τάδ’	head	3	4	
0085-004	230-231	4	,	relation	AuxX	APOS	
0085-004	230-231	4	,	head	0	3	
0085-004	230-231	6	καὶ	postag	b--------	c--------	
0085-004	230-231	9	ἕρδειν	relation	APOS	SBJ_AP	
0085-004	230-231	9	ἕρδειν	head	2	4	
0085-004	230-231	10	πολεμίων	lemma	πολέμιος	πολεμέω	
0085-004	230-231	10	πολεμίων	postag	a-p---mg-	v-sppamn-	
0085-004	232	2	δ’	postag	d--------	g--------	
0085-004	232	3	αὖ	relation	ADV	AuxZ	
0085-004	232	3	αὖ	head	11	2	
0085-004	232	5	σιγᾶν	lemma	σιγάω	σιγή	
0085-004	232	5	σιγᾶν	postag	v--pna---	n-p---fg-	
0085-004	232	6	καὶ	postag	b--------	c--------	
0085-004	232	11	[0]	lemma	_	/	
0085-004	233-234	8	δ’	postag	b--------	g--------	
0085-004	235	1	τίς	postag	p-s---cn-	a-s---fn-	
0085-004	236	3	σοι	postag	p2s---cd-	p-s---fd-	
0085-004	237-238	4	μὴ	postag	d--------	c--------	
0085-004	237-238	10	μη	postag	d--------	g--------	
